"2017-11-01", "2017-11-17", "2017-12-03", "2017-12-19", "2018-01-01", "2018-01-17", "2018-02-02", "2018-02-18", "2018-03-06", "2018-03-22"
2122,2243,2995,3414,6404,7809,6251,7195,7296,2693
4882,7978,8927,9070,9019,5409,8319,7309,6217,1087
4389,6420,5755,6045,8295,8512,4994,4220,2733,1914
1608,1419,3110,5399,8399,8941,9958,5578,2409,1517
1693,3558,4693,8782,5396,6986,3003,1780,1815,1486
8068,5761,2721,9167,5769,7348,9060,4913,5399,7868
1263,1825,2368,9288,7347,9482,7107,5796,3681,928
3273,2140,3471,3585,3992,4034,8826,7703,8304,2470
7763,5375,2882,2016,2760,1887,8002,8665,8505,8672
1258,4472,5195,2070,2571,3241,9450,9561,7604,7953
2491,3348,6660,5884,7824,8868,4690,7576,2688,1177
4977,4811,8846,8693,6911,5969,1746,2325,2576,5060
8703,6746,7439,6959,6034,4127,1902,1741,2370,2837
2013,1789,2392,7712,9948,9419,9513,7012,2836,1219
1475,2405,3270,5433,9247,9392,9603,8189,3606,2128
1372,1774,3437,6826,8519,9310,9881,8237,1700,1762
2197,3467,8434,8673,8656,9343,4247,1954,3306,3245
6035,8064,8226,8207,8570,8301,2698,3327,2894,1514
2224,3410,3225,2087,1621,1740,3047,6314,7047,7595
2649,3775,5267,2944,1770,1845,2466,3570,5614,8622
1730,2700,4326,1934,2478,1737,3475,5848,5397,7589
1621,1698,2126,3078,6777,8166,9971,9253,8243,4168
2052,2136,3820,7800,9765,9480,8247,6263,2469,2422
3917,4635,6448,6488,5288,4829,6660,6422,6917,8026
4586,5813,6095,8235,5527,7645,8166,8114,6710,7566
2236,2639,5347,6475,5413,5709,6314,5696,5021,5268
8416,8230,9789,9247,7101,6458,1996,2677,1453,2853
1218,1863,2927,4283,5956,8714,7953,6397,2245,1977
3901,3764,2155,2277,5356,6367,9453,8746,8876,6098
1871,3110,4643,7537,7300,8530,4167,1656,1810,4864
1541,1621,2923,4049,7477,8958,9044,3897,1708,4431
1532,1079,686,2165,5027,3856,9662,9053,5331,5087
7605,6868,6057,4184,3003,1749,2151,2287,3105,3479
5456,1338,2081,1850,5727,6874,8395,8438,6212,3700
3251,5228,8140,9821,8681,8708,4065,1378,1794,3900
1867,2405,5298,8989,8964,9100,6928,1818,933,1817
1921,2210,7032,9223,7769,9594,9613,7195,4853,1701
6575,5953,3724,6542,6542,6666,5672,7753,3239,6469
3902,1964,7605,7052,9500,9106,9661,8203,1924,1802
1779,2020,3371,3440,6505,5870,5051,5477,5379,2257
7369,7207,4289,5755,5755,3988,1902,3799,7567,7959
4256,4484,5564,7194,6916,6502,1782,2150,2476,6118
1140,1220,5657,5309,8886,9052,9888,8696,2901,1857
3214,3375,2885,7975,6921,7255,1824,2051,1988,4594
4151,4868,6575,6939,6033,5548,7631,3595,6667,7104
1650,6187,8034,9575,6671,9297,5289,1009,2366,2567
1623,4679,6134,8134,7200,8340,2029,3314,4680,5461
7669,6957,7439,4846,2342,1469,2182,3212,2908,4995
4592,7212,8731,9459,7691,8104,1731,2337,3733,7308
4204,6981,7605,8527,6638,6033,7699,7265,8566,4100
1830,2772,5245,9191,9895,9183,8276,2811,1471,2621
4715,6373,9462,8658,8496,6756,1727,1498,2310,1866
5693,6116,2038,1983,3264,2706,9494,8568,7250,6284
1687,7585,9147,9431,9851,8835,2991,1310,3012,3396
1296,1112,1770,7294,7294,9432,6993,4034,3292,1883
1741,2041,5096,8266,8147,9017,7787,4243,1998,1879
2036,2332,3438,8726,7799,8741,6613,2282,2381,2996
7367,7240,8198,9585,6099,7735,8945,5576,7521,5166
1200,2293,3615,2660,1649,2178,8710,9118,8411,8932
920,1320,1559,1480,1772,1667,7245,7241,8632,9034
3524,2367,2908,1883,1864,1084,1812,1968,3916,8067
1713,2284,6517,9624,9550,9006,7828,4419,2393,1385
3419,4107,5511,6169,5455,5208,6543,6696,6833,6965
1849,1803,3345,2595,5417,2467,7426,5797,5594,5338
1514,5054,6247,5023,4584,3497,2789,4764,8531,5908
1754,2503,3635,8328,8328,9203,9440,6081,1964,2896
3261,7780,8708,9288,9706,9592,4393,2444,920,2914
1182,2228,3493,3773,2565,1639,2845,4099,6499,7866
3433,5082,9017,9179,8297,8676,5336,2561,1905,2820
2448,2957,5924,9381,9170,9133,8182,1979,1814,2282
1487,1336,1606,1796,5550,6713,9627,9554,7803,4753
2630,3536,6757,2499,1981,1809,3520,5443,6674,9016
