Long,Lat,Point
-41.82928168810669,-2.8442293610204326,0
-41.82612056906163,-2.8431869557501415,0
-42.76542690466739,-3.115517418193287,0
-42.76719273925666,-3.117971530993506,0
-42.77006028058266,-3.117041690342468,0
-42.77006665129936,-3.1140128965133176,0
-42.76720307375629,-3.113070858854954,0
-41.78703913036232,-3.008917274440014,0
-41.78935781612364,-3.0121456722737294,0
-41.79312846481912,-3.0109263260269215,0
-41.793140104375375,-3.0069443048215163,0
-41.78937669341934,-3.005702674420424,0
-42.85236783716058,-3.0153474677616394,0
-42.85459874313331,-3.018447254520957,0
-42.85822060608065,-3.017272107844099,0
-42.85822808414417,-3.01344602847728,0
-42.85461088376425,-3.012256557522279,0
-42.793286697783486,-3.566868027602749,0
-42.79523859326061,-3.569581039333376,0
-42.798409777406576,-3.5685541886743306,0
-42.79841773790607,-3.565206540271928,0
-42.79525151066175,-3.564164453630271,0
-42.83074539303614,-2.9670277016846316,0
-42.8326973551116,-2.9697399545144556,0
-42.835866285773605,-2.968711677846918,0
-42.83587279226965,-2.965363905550138,0
-42.832707913628944,-2.964323167939986,0
-42.88938642360212,-3.123368712400261,0
-42.89124565363717,-3.125951990925598,0
-42.89426427989095,-3.124972788122818,0
-42.8942706278748,-3.1217843212100957,0
-42.891255954297165,-3.1207929632042175,0
-42.50934745729979,-2.717968494438849,0
-42.5112053808614,-2.7205512011746986,0
-42.51422216978513,-2.7195724220744486,0
-42.51422868972867,-2.7163847847738745,0
-42.51121595589868,-2.715393519406751,0
-42.87186425631171,-3.1819175482496895,0
-42.87344455344689,-3.184113394123912,0
-42.876010543271015,-3.183281223542946,0
-42.876016088940915,-3.1805710623623087,0
-42.873453548174616,-3.179728275877615,0
-42.82094925865393,-3.0098603948721223,0
-42.82327297765791,-3.013089331777383,0
-42.82704568631259,-3.0118653415762866,0
-42.8270535746293,-3.007879923682026,0
-42.82328578548456,-3.0066408225964407,0
-42.75583785739383,-2.9240273017524396,0
-42.75816129053421,-2.9272561036947105,0
-42.761933543096006,-2.9260321707300525,0
-42.761941435864784,-2.9220469220216607,0
-42.758174104289154,-2.9208078692292814,0
-42.59842871728897,-3.1769754715048233,0
-42.60065848259765,-3.1800754905882207,0
-42.60428066863072,-3.178901835233165,0
-42.60428948322556,-3.17507644302911,0
-42.60067278795297,-3.1738859089304237,0
-42.442678111084355,-3.3230155366759666,0
-42.44490711766305,-3.326115774613794,0
-42.44852970810469,-3.324943224080817,0
-42.44853952851103,-3.321118294672053,0
