2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,2018-02-02,2018-02-18,2018-03-06,2018-03-22,desvio,amplitude,lat,long
0.4625,0.605,0.5075,0.2177,0.7145,0.2716,0.1236,0.2174,0.5212,0.4004,0.1915943411365679,0.5909,-2.547434944208016,-43.36689472088485
0.2124,0.2066,0.2811,0.1732,0.506,0.1683,0.2171,0.645,0.6736,0.9246,0.26804372549600514,0.7563,-3.7136213515626206,-43.160395629377575
0.3717,0.4549,0.4566,0.0537,0.4515,0.6017,0.0608,0.6961,0.5033,0.5743,0.21318119679433895,0.6424000000000001,-2.670929308937557,-43.20986241357089
0.4201,0.4101,0.3745,0.4584,0.2123,0.617,0.5195,0.5297,0.7683,0.1514,0.18078733393440788,0.6169,-3.2649727906542014,-43.50474536107903
0.4708,0.4828,0.408,0.1815,0.2097,0.4747,0.6685,0.7445,0.3996,0.5543,0.17660971534871903,0.5630000000000001,-3.1246629844832037,-43.3021214760121
0.4464,0.4565,0.4516,0.1506,0.252,0.4414,0.6584,0.7199,0.5553,0.6188,0.17592268156462626,0.5692999999999999,-2.9328456175332174,-43.12460750593178
0.3768,0.4063,0.449,0.2063,0.257,0.4296,0.6526,0.3679,0.8242,0.5542,0.183465742790794,0.6179,-3.2972086058488945,-43.30453571344425
0.3478,0.4093,0.4157,0.1131,0.4,0.4738,0.6426,0.8391,0.5028,0.6578,0.198658758231854,0.726,-2.88838539264808,-43.141273693270904
0.469,0.4537,0.3967,0.3128,0.3128,0.2684,0.6966,0.781,0.7716,0.4793,0.19118689779608036,0.5126,-3.0575074540119225,-43.05707172114852
0.1455,0.1808,0.1404,0.4026,0.4491,0.2963,0.5004,0.5671,0.8697,0.7944,0.2572422034235872,0.7293000000000001,-3.740234464111852,-42.930690884093366
0.4903,0.5427,0.3892,0.1577,0.2747,0.7058,0.567,0.728,0.2489,0.6784,0.20306153446130012,0.5703,-2.8374544951717007,-43.568209536711706
0.4675,0.5656,0.4388,0.8767,0.8767,0.4513,0.7364,0.1658,0.6522,0.2077,0.24770400817642552,0.7109000000000001,-3.1073103426397357,-43.30835649569629
0.4845,0.6136,0.4777,0.2198,0.1612,0.1558,0.561,0.5385,0.4866,0.622,0.18243281289894708,0.4662,-2.514514741781785,-43.51584362613089
