2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,2018-02-02,2018-02-18,2018-03-06,2018-03-22,desvio,lat,long
0.4234,0.4664,0.3847,0.2298,0.2053,0.6057,0.5694,0.5856,0.6269,0.6437,0.1610738164113998,-3.0346981229194063,-42.76532541389557
0.4456,0.5088,0.4004,0.1741,0.4765,0.6364,0.4107,0.7324,0.6064,0.6527,0.16150468861443137,-3.07132132202733,-42.903654316654205
0.4369,0.3835,0.4212,0.5106,0.5307,0.4353,0.5066,0.4085,0.4736,0.3729,0.05498546878746945,-3.4578297284134187,-42.78787516412403
0.3371,0.3916,0.3615,0.2966,0.2371,0.3879,0.4226,0.4645,0.4743,0.5373,0.08889779712306337,-2.9529127392681405,-42.5646743248398
0.4757,0.435,0.54,0.4706,0.4706,0.4794,0.3202,0.5213,0.6036,0.5439,0.07605470326606298,-2.7884703583362453,-41.836575997847774
0.3677,0.5781,0.2941,0.4781,0.4337,0.3568,0.4545,0.5805,0.3009,0.546,0.10776793173811546,-2.680446476692519,-42.73459216342274
0.4244,0.4104,0.4385,0.4718,0.4718,0.3896,0.322,0.4622,0.2874,0.3787,0.06268712077541216,-2.6652680007959964,-42.73933943682477
0.3775,0.4677,0.3442,0.2304,0.5822,0.4699,0.5975,0.5591,0.682,0.603,0.14010076730696377,-3.104987659593599,-42.66239272686934
0.5406,0.4252,0.4223,0.3774,0.3774,0.4134,0.524,0.4728,0.6263,0.5289,0.08194552458798467,-2.863247014828139,-41.82977001106934
0.4566,0.4362,0.339,0.1305,0.4544,0.4798,0.5831,0.3356,0.3964,0.5479,0.12789273500346557,-2.9267927337756925,-42.782537337492464
0.3612,0.3399,0.3962,0.3939,0.3939,0.4091,0.6829,0.6242,0.613,0.4904,0.12448476970653433,-3.296115808902841,-42.1252602505116
0.2378,0.1874,0.1606,0.2023,0.3165,0.1196,0.3673,0.2209,0.4792,0.3591,0.11181937866239665,-2.6939753436331935,-42.71798154082634
0.3967,0.3832,0.3565,0.3454,0.3454,0.2087,0.3769,0.5756,0.5728,0.4822,0.11182361308974256,-2.732947835602848,-42.67651117550026
0.3588,0.4031,0.4091,0.1458,0.5818,0.5859,0.559,0.4448,0.3303,0.5904,0.14363833440663085,-3.0508210298671092,-42.694882113297595
0.4961,0.4746,0.5344,0.4319,0.4546,0.4844,0.693,0.5936,0.6911,0.5437,0.09275537959840627,-3.24050105418382,-42.01633376159071
0.3886,0.4278,0.3546,0.1433,0.3092,0.3899,0.2243,0.2771,0.4202,0.5416,0.1136487004374054,-2.957194187547992,-42.79556051321738
0.388,0.4269,0.3488,0.437,0.437,0.3796,0.5732,0.4936,0.5804,0.5414,0.08248168079438409,-2.701158075398245,-42.7887623894609
0.4047,0.375,0.3891,0.3345,0.5853,0.5457,0.3935,0.5673,0.6157,0.502,0.10261815737101414,-3.461641769814316,-42.79434371359436
