2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,2018-02-02,2018-02-18,2018-03-06,2018-03-22,desvio,amplitude,lat,long
0.0725,0.5875,0.4817,0.2106,0.6528,0.3044,0.3405,0.5859,0.7443,0.6046,0.21661808583567327,0.6718,-2.768708281595029,-42.13777409159565
0.4316,0.4597,0.4452,0.1412,0.413,0.5464,0.7132,0.6219,0.7128,0.6826,0.1776064826144211,0.572,-2.8689461630459503,-42.24691902928323
0.722,0.722,0.6864,0.2426,0.6091,0.702,0.6458,0.7255,0.7872,0.7351,0.15392080972586733,0.5446,-2.82474199893886,-42.019061172799844
0.6247,0.7627,0.8029,0.3417,0.3756,0.7844,0.6031,0.6738,0.6972,0.7975,0.16724733646774634,0.46119999999999994,-2.7412480424146146,-42.481110931852044
0.5918,0.6952,0.636,0.667,0.667,0.5682,0.6697,0.2308,0.6316,0.3791,0.1507127967729055,0.46440000000000003,-2.7730201949588045,-42.154482755880274
0.6523,0.7056,0.6911,0.5536,0.3014,0.7497,0.5658,0.0692,0.6927,0.6858,0.21697631616786608,0.6805,-2.7584322267140187,-42.16809130910229
0.5058,0.4622,0.544,0.2858,0.7176,0.4437,0.666,0.7533,0.6597,0.8504,0.17024736414993333,0.5646,-2.7342411831984834,-42.15017158118245
0.2239,0.2333,0.2251,0.2366,0.3449,0.2738,0.5164,0.7185,0.6282,0.7011,0.20863137507735183,0.49460000000000004,-3.4731812316583808,-42.75949846906774
0.4592,0.4965,0.4854,0.0799,0.5153,0.5213,0.6224,0.7982,0.7599,0.7992,0.21374085061640002,0.7193,-3.2775281627771484,-42.16607139237839
0.6399,0.6847,0.6712,0.3494,0.3494,0.6105,0.3686,0.6448,0.8664,0.6921,0.1741767875847219,0.5169999999999999,-2.7778852017498714,-42.14558980390047
0.7076,0.7251,0.7289,0.6106,0.8078,0.719,0.6894,0.6138,0.1184,0.7088,0.1928780685649183,0.6894,-2.8231461878126742,-42.05638672685442
0.6811,0.7073,0.7119,0.4879,0.7778,0.7098,0.4037,0.7514,0.6743,0.3383,0.15505597734725068,0.43950000000000006,-2.8015584124801656,-42.02458562713068
0.2317,0.2675,0.2396,0.3413,0.533,0.6533,0.6244,0.5863,0.4997,0.5753,0.1673840125778644,0.4216,-3.497981785628491,-42.6278505488465
0.3344,0.253,0.2897,0.4015,0.5331,0.4171,0.5492,0.7702,0.7444,0.885,0.21872346416829122,0.632,-3.498471409900091,-42.69077624183372
0.4828,0.2353,0.2002,0.1541,0.1541,0.2142,0.5621,0.4644,0.0779,0.3621,0.1651748689520695,0.4842000000000001,-2.8090972087383586,-41.98052307777815
0.6559,0.7227,0.7264,0.4825,0.6181,0.6872,0.7527,0.6506,0.1509,0.7257,0.18143905649617512,0.6018,-2.8311957647276986,-42.10772452200946
0.6294,0.6842,0.6588,0.6948,0.8636,0.6154,0.0897,0.7162,0.3501,0.7534,0.22353263843216373,0.7739,-2.771445540217853,-41.987127726447696
0.6232,0.7173,0.6462,0.707,0.7392,0.8364,0.3186,0.6477,0.2531,0.734,0.18795386579335546,0.5833,-3.5222362982997186,-42.81649675851162
0.2994,0.2266,0.1984,0.2869,0.4621,0.4848,0.1589,0.619,0.6234,0.881,0.2324373953944971,0.7221,-3.5745182478354742,-42.72432961036096
0.597,0.7187,0.6296,0.3571,0.6075,0.5961,0.7448,0.5553,0.312,0.7836,0.1537308329516236,0.47159999999999996,-2.77735326470781,-42.289365349790266
0.4697,0.4504,0.4306,0.4057,0.3459,0.6505,0.7731,0.9312,0.7331,0.8988,0.2157122981092074,0.5853,-3.3686032283300467,-42.411580590195264
0.6554,0.659,0.6594,0.3473,0.7153,0.7011,0.1391,0.7423,0.7051,0.4981,0.19674969687961966,0.6032,-2.7967357184595603,-42.013267593216696
0.4407,0.389,0.4361,0.3615,0.4864,0.5452,0.722,0.7596,0.6827,0.743,0.15576947211968217,0.39810000000000006,-3.3707027679846533,-42.43259969051184
0.2128,0.2015,0.2059,0.2022,0.0957,0.243,0.3987,0.37,0.8341,0.872,0.2723080055541682,0.7763,-3.3341149735482687,-42.25891209232565
0.5946,0.3939,0.5938,0.3076,0.2131,0.4274,0.7403,0.5793,0.3293,0.4868,0.16186459670560038,0.5271999999999999,-2.8527905921886183,-42.2493448498833
