Long , Lat
-45.77913847461106,-12.15322980809357
-45.799894300051776,-12.155118125446588
-45.77643938505442,-12.14272948325554
-45.696313608292485,-12.142828663941119
-45.696157146251124,-12.195732309541452
-45.737462686651796,-12.1461467396988
-45.7375140521644,-12.15993895484718
-45.7490201736195,-12.153500627154074
-45.40493439780259,-12.231842653498074
-45.78016419165428,-12.163506882553325
-45.845131566243225,-12.151141378241146
-45.893234282714744,-12.172765638566224
-45.38364196625092,-12.28568634677834
-45.40413867577441,-12.291867179405223
-45.391169843429864,-12.294278163440334
-45.40436060520767,-12.30401420282568
-45.394016360921306,-12.305312489587031
-45.35417638965279,-12.269164716739098
-45.35305947184952,-12.279547318351305
-45.539329362426216,-12.161295518585337
-45.54664053863941,-12.165939862555284
-45.53546901151038,-12.18584088046796
-45.3789272036732,-12.307570411464711
-45.38215489274756,-12.296225172447267
-45.39430102217801,-12.282945865990058
-45.40568775964662,-12.281073314405518
-45.5514324062324,-12.177290592013
-45.55469084811334,-12.168487887818673
-45.52228814753659,-12.171825111627951
-45.54708835628237,-12.185990283658704
-45.52542510450206,-12.191780211347957
-45.53477902657413,-12.196184853609779
-45.51526143637295,-12.190464559281853
-45.52373556235452,-12.182071945452297
-45.51990071902594,-12.199965494184687
-45.528357565967625,-12.204669474459909
-45.50841351229107,-12.19893082191468
-45.514091974381856,-12.208536210854536
-45.49847187116765,-12.1958659405859
-45.50455343857202,-12.187158934323172
-45.518851680482065,-12.215843360666858
-45.51431175343986,-12.179948008830252
-45.53155347015527,-12.174684429933016
-45.89058702461246,-12.163659745298046
-45.5398640936027,-12.17000059663029
-45.4865162420016,-12.210910187379163
-45.48456989870733,-12.18480310895438
-45.476834118807886,-12.19439645047923
-45.48934811134703,-12.174024462828314
-45.61434630016661,-12.168920503567355
-45.5891229946828,-12.182397278238545
-45.58797732245195,-12.230897177798148
-45.590039466522896,-12.219603586118883
-45.58107055659528,-12.216380410531395
-45.59221941792606,-12.209289303406397
-45.36316371747741,-12.223118199710745
-45.349095456580486,-12.226661760982832
-45.58331140421827,-12.206339650972009
-45.5767318630911,-12.226545854227032
-45.58553839716707,-12.196917215194816
-45.61321167773788,-12.181552500122697
-45.47875721654617,-12.216389504336211
-45.43129913009537,-12.284730052776524
-45.42949939093293,-12.294383679916724
-45.97636575332376,-12.177528512412035
-45.96764983672354,-12.17855829601768
-45.43955114369432,-12.287096975680853
-45.97073654185023,-12.186756764423485
-45.933103806360464,-12.185221847133334
-45.94006250631834,-12.199451365139133
-45.97870220379678,-12.186043699816373
-45.930320020435204,-12.197853614501716
-45.94851134448328,-12.185793881832844
-45.50011347042967,-12.267491111364656
-45.51027711486363,-12.267438285527938
-45.489002218061444,-12.267609956739985
-45.517783818678694,-12.27651827893083
-45.497183818152294,-12.277780233831736
-45.47783733632866,-12.268439544169542
-45.48340203181387,-12.278344655402396
-45.50750819273708,-12.277727709061498
-45.531442762289096,-12.282728148832156
-45.47507160993696,-12.284572807532669
-45.50956356996167,-12.287991539527383
-45.48809552084293,-12.288104911622241
-45.47554897977007,-12.295252900039747
-45.48637553207568,-12.298361153604969
-45.499456273599066,-12.301664467320837
-45.50136128748681,-12.287428861441558
-45.52224107126719,-12.297220157616486
-45.51174873256925,-12.298834997564567
-45.533185606203695,-12.294402315756244
-45.52018600275236,-12.286747789176651
-45.44282277836792,-12.277663578855133
