2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,2018-02-02,2018-02-18,2018-03-06,2018-03-22,desvio,amplitude,lat,long
0.4242,0.2555,0.255,0.3068,0.639,0.2435,0.5217,0.8485,0.694,0.7411,0.22734674471681648,0.605,-4.736274144145199,-42.97266794732336
0.2905,0.2744,0.3106,0.315,0.6144,0.486,0.6824,0.7872,0.88,0.9029,0.2519082690187045,0.6285000000000001,-3.47177734170492,-42.59968670269103
0.2605,0.2414,0.2521,0.3979,0.6814,0.4319,0.5932,0.4907,0.8523,0.9241,0.24604209328215906,0.6827000000000001,-3.463146462848962,-42.594970362782924
0.2864,0.2739,0.408,0.4649,0.3522,0.8277,0.849,0.9509,0.9081,0.708,0.2717619564986976,0.677,-4.722232217199291,-43.13651991648086
0.2803,0.1595,0.3217,0.3663,0.7794,0.3936,0.7283,0.6487,0.2967,0.1721,0.22447790388662606,0.6199,-3.518123358237077,-42.54053245656527
0.5239,0.0467,0.6442,0.0738,0.1541,0.6878,0.6509,0.8244,0.6214,0.8262,0.3004206761637199,0.7795000000000001,-3.611886317513922,-42.62663542254866
0.3356,0.2113,0.2256,0.2775,0.2687,0.3136,0.3454,0.7181,0.7398,0.7911,0.23029788463350387,0.5798000000000001,-3.5202370021485017,-42.68956185420183
0.2889,0.2752,0.1934,0.3626,0.4202,0.3021,0.3517,0.6678,0.6104,0.834,0.20528704591917685,0.6406,-3.493287543624916,-42.74453874958994
0.5596,0.4125,0.5375,0.1657,0.3406,0.4661,0.6691,0.8266,0.707,0.7178,0.2000767366675985,0.6609,-3.457217581973773,-42.757206103094894
0.4643,0.6494,0.6753,0.2162,0.531,0.7204,0.1459,0.7702,0.8114,0.8169,0.23945188799979564,0.6709999999999999,-6.025032511385118,-43.26170181332124
0.4739,0.6059,0.6433,0.3955,0.1678,0.5947,0.7437,0.7433,0.3026,0.7605,0.20262015255700067,0.5927,-6.00079210297071,-43.20160489014664
0.3806,0.7455,0.7505,0.8282,0.4344,0.8482,0.2479,0.7308,0.7992,0.7734,0.2147013897900472,0.6003,-6.6119705616435835,-42.93817300974617
0.4052,0.6404,0.6405,0.8056,0.3751,0.6921,0.1609,0.6776,0.7319,0.746,0.20508599849277323,0.6447,-6.032032318472838,-43.24297175498087
