Lat , Long
-46.65831482423408,-8.570671266743174
-46.6549566737559,-8.563975172835168
-46.64740277425852,-8.56391184423517
-46.63259323348555,-8.566880486556286
-46.61766792303193,-8.561924895663095
-46.61513181756817,-8.55411827596599
-46.6947958452282,-8.609327126400013
-46.68957870244992,-8.60284253720818
-46.73441839336954,-8.557855069670298
-46.72690482405597,-8.559163477059187
-46.71857069462302,-8.560636102504922
-46.71102881093736,-8.560949102688227
-46.723766531615446,-8.56585754931274
-46.731727496674516,-8.56561311498918
-46.750674979728416,-8.558402979034563
-46.62960511713518,-8.557538352559732
-46.622483852960855,-8.555665271906728
-46.636826279200434,-8.559514905103844
-46.62462996633388,-8.564285681488482
-46.67363720886461,-8.58121596868578
-46.70510836540837,-8.619322520172712
-46.752704338563184,-7.881722413110396
-46.742462328168344,-7.859576670004973
-46.76040297304418,-7.872240303208288
-46.76927026508884,-7.889827020113298
-46.780507238595035,-7.884124630121535
-46.79032651864623,-7.888867945010564
-46.82525333442373,-7.850297492781732
-46.82963868930466,-7.861245965557605
-46.843451129921355,-7.849381288188577
-43.01690236292032,-3.6402885493918626
-43.01330724028338,-3.722547602218265
-43.01933168130918,-3.7248564239705058
-43.01627919284367,-3.7238317295444014
-47.03283922879438,-6.4972359310530186
-46.316524998526816,-7.445820439911147
-46.3546557782073,-7.420688949848811
-46.36038038154023,-7.417249611543072
-46.35264408263082,-7.406423902971604
-46.30549847092417,-7.393308310836584
-46.295056399511225,-7.3914521156412425
-46.294560810675996,-7.414667772830921
-46.31683672410759,-7.43633724915076
-46.40111883902982,-7.480193916253511
-46.410361083568624,-7.47898578158961
-46.39792560839195,-7.444623303949838
-46.39921872495301,-7.413599040649376
-45.858883987047186,-7.467365388685954
-45.91400002706024,-7.32445751356762
-45.919400465081694,-7.314677274608288
-45.93475258232009,-7.2735844949125505
-45.864434401452044,-7.2176792596040205
-45.950275437234055,-7.235890036141279
-45.97583170450966,-7.225360561124175
-45.98512932601907,-7.220966257853796
-46.14841028966261,-7.684007767192994
-46.027230151131135,-7.773671045249478
-43.95491018111386,-3.379214006118384
-43.94935727410562,-3.3571373386482097
-42.939883171795884,-5.088280674134329
-47.92896773040577,-5.20818955731754
-47.92131423650163,-5.218087105979012
-47.91549606783203,-5.210343968783602
-48.08818313872829,-5.055246324434988
-47.88465416488411,-5.116751953273467
-47.36775319116593,-6.011102891205961
-45.96909138773948,-7.2337043627199344
-45.953062817656864,-7.227490817264454
-45.92601717241459,-7.320544413410685
-46.29161150169444,-7.376581475096887
-45.90348572767496,-6.74939582588347
-45.89698373654587,-6.745967102451745
-45.896545912027484,-6.765982581408407
-45.853764322578975,-6.749501489212695
-45.8528018747887,-6.754501994918666
-45.85174478530808,-6.760165797857013
-45.85757076194527,-6.754958845916494
-45.86284182254729,-6.749648108777887
-45.751124091523,-6.788839622088509
-45.74535958174562,-6.788535394942079
-45.754182912868046,-6.793229815689156
-45.74981673321788,-6.792881669879822
-45.730300681622445,-6.789864654000932
-45.73390091408004,-6.79009550047356
-45.72954624491558,-6.79774188409737
-45.80537259346194,-6.771685353410652
-45.79986059883974,-6.773093409884269
-45.797868097468275,-6.7821699653279035
-45.80591010403648,-6.780703365851131
-45.80578124636319,-6.7842291006348665
-45.98564577428285,-5.811087816827039
-45.994258476652874,-5.810321133675511
-45.98746121720926,-5.801982472703422
-45.241936387580665,-5.674685074248875
-45.238407834552376,-5.664846090357475
-45.24041560479182,-5.652202615348893
-45.21802983535431,-5.671851765532305
-45.18526747090452,-5.492807839172869
-45.179793210272145,-5.485716263009038
-45.18514632305354,-5.483565382199295
-45.207598975454324,-5.482620868158247
-45.20162472307995,-5.4743993085953395
-45.19499081181433,-5.466302827827735
-45.18645935264928,-5.462085255581363
-45.174726380116596,-5.449592508147652
-44.99401143658573,-5.201007180160038
-45.005411141984446,-5.5717319943912225
-44.995262577559636,-5.571915580400946
