2017-02-02,2017-02-18,2017-03-06,2017-03-22,2017-04-07,2017-04-23,2017-05-09,2017-05-25,2017-06-10,2017-06-26,2017-07-12,2017-07-28,2017-08-13,2017-08-29,2017-09-14,2017-09-30,2017-10-16,2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,desvio,lat,long
0.7226,0.7235,0.6107,0.2129,0.167,0.179,0.1422,0.2564,0.5016,0.7841,0.7121,0.7506,0.7627,0.6352,0.5744,0.4838,0.3133,0.1805,0.1632,0.1625,0.2006,0.2553,0.2682,0.24432852300570682,-45.54718048284863,-14.80404926450012
0.3173,0.1474,0.1492,0.1446,0.1694,0.1315,0.2921,0.589,0.7311,0.6682,0.583,0.391,0.3098,0.2462,0.2374,0.2339,0.1681,0.307,0.5164,0.491,0.9835,0.9747,0.8808,0.27379720648078176,-45.57238441004472,-14.417208215098144
0.1995,0.1693,0.1568,0.3295,0.7238,0.8103,0.7208,0.6891,0.6637,0.5608,0.272,0.2041,0.1966,0.1464,0.2329,0.3175,0.5505,0.8509,0.8244,0.5592,0.2209,0.1518,0.1666,0.2589953447778566,-45.570089151364506,-14.390089874539507
0.6733,0.6808,0.7046,0.5527,0.2365,0.1871,0.1484,0.3628,0.6543,0.8545,0.9027,0.7822,0.5525,0.1632,0.1968,0.1668,0.1609,0.1182,0.1478,0.2808,0.548,0.877,0.9117,0.29051250862567723,-45.41722999633824,-14.266178195703054
0.1733,0.1956,0.2617,0.4401,0.7488,0.8553,0.7765,0.7165,0.7336,0.6205,0.4142,0.3806,0.2792,0.147,0.1298,0.1541,0.1369,0.147,0.2276,0.5566,0.8256,0.8747,0.8303,0.28188604557116165,-45.49440077732231,-14.32678936735745
0.3881,0.6514,0.7805,0.8367,0.8886,0.914,0.8275,0.7431,0.7127,0.5829,0.3592,0.1257,0.1078,0.1734,0.6132,0.7221,0.6632,0.691,0.6168,0.5265,0.3173,0.1667,0.1325,0.2663556283448656,-45.4644552698536,-14.30732019408366
0.1049,0.1135,0.1232,0.1005,0.1449,0.3037,0.7084,0.6508,0.6782,0.5678,0.2562,0.2731,0.0847,0.103,0.0945,0.0734,0.09,0.0875,0.1279,0.5497,0.708,0.9147,0.9355,0.2976123626119161,-45.963945439360344,-14.612293535084538
0.2204,0.1096,0.1192,0.1161,0.1544,0.1338,0.509,0.7365,0.8078,0.8088,0.7651,0.7127,0.476,0.2651,0.2384,0.1654,0.1188,0.0886,0.128,0.1274,0.3978,0.4532,0.4351,0.2590647175236579,-45.54482441703105,-14.753605816151453
0.2621,0.0863,0.0713,0.0858,0.0905,0.1817,0.5454,0.7319,0.7876,0.786,0.7303,0.6348,0.4831,0.2513,0.0935,0.0933,0.1457,0.1496,0.2122,0.1086,0.1058,0.1394,0.3065,0.2607040377448011,-45.55726064435214,-14.766595277279473
0.7417,0.6132,0.6756,0.382,0.1547,0.149,0.1605,0.2219,0.3448,0.7001,0.8981,0.8396,0.7533,0.3087,0.1775,0.1642,0.1575,0.135,0.1872,0.1362,0.2457,0.4323,0.592,0.26363309289234577,-45.43180026565317,-14.17664036984661
