Long,Lat
-43.571115689255095,-13.246925900208737
-44.00231207527881,-13.320582998242388
-43.7399098873651,-13.236966524176962
-43.641683151934885,-13.252193004606484
-43.578140395888724,-13.252931554590061
-43.656510947476505,-13.224065761559572
-43.58852740620165,-13.228038634005845
-43.733695887071974,-13.260802846439658
-43.71279220113267,-13.26069816563575
-43.625256241416224,-13.243968831433694
-43.78968887517857,-13.248056166816479
-43.753065715769026,-13.154037942104
-43.7234094116072,-13.24230889114778
-43.653764977820295,-13.245205623626278
-43.5584557654803,-13.257702654033384
-43.76668286176057,-13.225705984446845
-43.63482235463913,-13.24130810558283
-43.66209014530207,-13.266946160654395
-43.56719987434096,-13.230089536491302
-43.61722483243588,-13.244467860513797
-43.59006348603303,-13.249743311804455
-43.547443047615836,-13.247334644992225
-43.664850618405,-13.243094176012441
-43.61492111581134,-13.260185250315587
-43.75811610790376,-13.112836788101339
-43.707965955390335,-13.230840192266228
-43.71553987574583,-13.211893304993968
-43.67155678009715,-13.25723211000362
-43.54806113616061,-13.25981325408145
-43.72612711847479,-13.252086239375831
-43.72482728129576,-13.288965026538154
-43.729161614810394,-13.280850249849841
-43.594827254694536,-13.2155980037737
-43.716545894735496,-13.284041534611596
-43.770579562018774,-13.1383914830748
-43.72379073023434,-13.222240816648249
-43.66449093131885,-13.258280043623929
-43.58705176704791,-13.219894406068226
-43.71332152878025,-13.23900366712619
-43.70802594695195,-13.219449481967981
-43.99669002375331,-13.340632394056119
-43.670561235320406,-13.236614922631734
-43.54849827753965,-13.209372896147695
-43.7458262605883,-13.216925505602347
-43.58004678914699,-13.234500488599396
-43.58442897959451,-13.242660870085672
-43.615628143104246,-13.23306859294437
-43.70785439304498,-13.251994340926405
-44.56859967674619,-12.68685193747841
-43.70715443117632,-13.279654592891964
-43.623359169229914,-13.261315774058719
-43.53186165448016,-13.214159513734277
-43.59291420339828,-13.259522338486178
-43.64575148665659,-13.242451152797384
-44.10313529269935,-13.35676341927178
-43.52126502246463,-13.227115858842222
-43.69710293004317,-13.269297275828468
-43.65912484140568,-13.25228528428024
-43.79291823706494,-13.23884990944821
-45.17011932575272,-13.5047807218909
-43.556261211221525,-13.207247224706935
-43.66620768608449,-13.27347677970208
-43.85607571035078,-13.320508736283575
-43.72483602362387,-13.260758689514592
-43.54877553974227,-13.232697535674458
-44.10428371088673,-13.383349382186342
-43.62446834733091,-13.236370825898643
-43.56304508307226,-13.135688361049128
-43.53895866019275,-13.207691416390148
-44.4351534116208,-12.747367446269545
-43.59207308347277,-13.237279096892726
-44.87038527842229,-12.832037182689827
-43.93224078365792,-13.320297999550728
-43.53107407570286,-13.253207260380972
-44.583492363430025,-12.703695135387267
-44.88683863784114,-12.823363671878274
-43.665033361234265,-13.234958834213511
-44.092329730113015,-13.35726741352304
-44.654160894707445,-12.652252754351002
-43.67603055379794,-13.249119054821765
-43.64311256830586,-13.26901548517557
-43.73023438320926,-13.234206436128549
-43.6885372183378,-13.2659987934477
-43.588166989097104,-13.266547348672015
-43.68372990810811,-13.258922509446425
-43.73114494058579,-13.272181236072669
-43.54554698401006,-13.216949691440867
