2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,2018-02-02,2018-02-18,2018-03-06,2018-03-22,desvio,lat,long
0.2416,0.3572,0.9373,0.9683,0.9283,0.8714,0.3001,0.196,0.1957,0.2123,0.3531585253112262,-14.372820611059431,-45.53136937129975
0.1064,0.228,0.6499,0.8052,0.6108,0.5121,0.3113,0.2194,0.1932,0.156,0.24447163457364765,-14.271021922345033,-45.438793495381276
0.1633,0.1692,0.24,0.2989,0.5892,0.6794,0.8428,0.909,0.8249,0.4679,0.29039308302138783,-14.80191048649133,-45.53393285425379
0.1226,0.1285,0.3078,0.3559,0.7829,0.8621,0.9939,0.9328,0.855,0.5879,0.33795520807744134,-14.305210060207653,-45.43274012356589
0.1517,0.1804,0.477,0.7427,0.9906,0.9619,0.7131,0.5427,0.3148,0.1405,0.32370490402353946,-14.274840590225775,-45.42711950378802
0.1383,0.482,0.5508,0.7556,0.5008,0.473,0.2916,0.2203,0.2022,0.2001,0.1998850839301867,-14.254238456039687,-45.41998907165354
0.6352,0.6466,0.5692,0.4586,0.2789,0.1972,0.1606,0.224,0.2712,0.4669,0.18633917820290324,-14.364111564808953,-45.544286708106185
0.6868,0.6926,0.8595,0.9114,0.6813,0.2997,0.1615,0.2236,0.1605,0.4,0.2904244191217781,-14.279618462064285,-45.48192078040985
0.7229,0.7681,0.2759,0.162,0.1766,0.1618,0.4895,0.6459,0.4032,0.78,0.25755539835581437,-14.359194929688703,-45.55902089336132
0.6035,0.8064,0.8226,0.8207,0.857,0.8301,0.2698,0.3327,0.2894,0.1514,0.2854587387969679,-13.704882738225045,-45.938209646967785
0.1577,0.2469,0.4558,0.798,0.924,0.9002,0.5734,0.1731,0.206,0.2111,0.3129706262397302,-14.363087679606911,-45.517017362547215
0.834,0.7353,0.2594,0.2049,0.1574,0.1846,0.478,0.6618,0.626,0.8947,0.2842032506264956,-14.396636640084555,-45.55452244283651
0.1368,0.4462,0.7602,0.7301,0.6517,0.4983,0.3964,0.366,0.2492,0.1805,0.2205973315039569,-14.314766111282962,-45.535266092337075
0.1823,0.2104,0.3193,0.8417,0.9507,0.8925,0.5443,0.5922,0.1737,0.1968,0.3161120246227769,-14.778546750868266,-45.55004349871112
0.1385,0.1797,0.2408,0.3428,0.8146,0.7517,0.7767,0.7361,0.6822,0.5031,0.26879301743576267,-14.282418330498267,-45.43659046698711
0.187,0.5623,0.8539,0.9283,0.8663,0.7007,0.1469,0.1864,0.1894,0.3219,0.32247055834602945,-14.2628582876032,-45.452822408423174
0.6916,0.6897,0.5634,0.4546,0.3491,0.2446,0.1709,0.2107,0.228,0.4455,0.1958234831565294,-14.352193207529988,-45.53716331104707
0.7061,0.7872,0.4732,0.897,0.8079,0.4231,0.1604,0.2377,0.21,0.3221,0.2756449328393323,-14.264463288824238,-45.464506426837
0.2485,0.6009,0.9916,0.9835,0.8549,0.7152,0.1385,0.1896,0.2951,0.3481,0.33330677710881706,-14.328828526122805,-45.553659998432046
0.1869,0.2264,0.2992,0.7269,0.8779,0.8439,0.7966,0.2356,0.2424,0.1921,0.3038570001753383,-14.38314076980206,-45.52555033032308
0.213,0.2879,0.9509,0.8735,0.9555,0.8903,0.2281,0.1802,0.263,0.2348,0.35466549435896483,-14.277424304728447,-45.49373661636311
0.4445,0.5107,0.9174,0.5824,0.7362,0.8229,0.3364,0.1718,0.3261,0.1563,0.2639678012771844,-13.664159164836507,-45.94831098699338
0.1247,0.0962,0.1266,0.1949,0.4602,0.5643,0.9638,0.9857,0.9024,0.719,0.3653216902037618,-14.769817703820696,-45.57050912830244
0.1359,0.1338,0.131,0.2172,0.2906,0.3651,0.8621,0.9238,0.4554,0.2492,0.29206586566883996,-14.814913894906175,-45.540655921646824
0.1986,0.5256,0.9215,0.8861,0.7762,0.5718,0.1532,0.1985,0.1887,0.4296,0.30008420966270266,-14.360890416729125,-45.52939359506462
0.1333,0.1147,0.2895,0.1968,0.2568,0.2051,0.7566,0.9174,0.7916,0.7342,0.31775997929954053,-14.851253278595994,-45.54297695706612
0.1242,0.2103,0.5082,0.8225,0.9442,0.8926,0.4764,0.1923,0.1719,0.2835,0.3191049303216037,-14.285540922888293,-45.5036282450555
0.2225,0.2376,0.4169,0.7958,0.9274,0.8393,0.6784,0.2172,0.1891,0.1562,0.3081312389947576,-14.374473686262414,-45.51982599818177
0.3177,0.7294,0.6026,0.6118,0.4076,0.3067,0.2807,0.2353,0.1706,0.2636,0.18914621034768023,-14.33212927473063,-45.53363808205696
0.3981,0.3186,0.2509,0.2166,0.4872,0.6676,0.8944,0.9446,0.7745,0.3343,0.27115214589271136,-13.801807906349516,-45.98327817616153
0.0988,0.1219,0.156,0.1239,0.1142,0.1149,0.5105,0.8562,0.6733,0.683,0.30036066486808816,-14.76392401991138,-45.53997222566553
0.2471,0.7343,0.7504,0.8453,0.8235,0.6492,0.1468,0.1843,0.2746,0.3894,0.2818495834069419,-14.30618212796905,-45.49087862477988
0.3376,0.7948,0.9719,0.8099,0.8472,0.5028,0.1282,0.175,0.1986,0.3093,0.32025437476411706,-14.269324033087239,-45.47550213170662
0.1259,0.152,0.3809,0.4387,0.9041,0.9051,0.5748,0.5755,0.4937,0.2073,0.27839859514332643,-14.192877273799349,-45.45240504553026
0.2487,0.4069,0.7033,0.7102,0.5958,0.4758,0.2181,0.2723,0.35,0.1873,0.19707241872525497,-14.307733718012074,-45.52634815433433
0.6571,0.6977,0.4976,0.4314,0.3053,0.2293,0.1571,0.2225,0.2451,0.4621,0.18879806260776205,-14.342415900940676,-45.54270416202926
0.7356,0.8039,0.5043,0.2355,0.1533,0.1644,0.3096,0.5517,0.4403,0.778,0.24944024980388035,-14.390584594477232,-45.58956898089162
0.9475,0.6983,0.3181,0.1651,0.1923,0.1963,0.4894,0.718,0.7078,0.8534,0.2942514903200246,-14.373256959985511,-45.576724335668246
0.1801,0.6621,0.5969,0.9542,0.9397,0.8687,0.1855,0.1924,0.2355,0.4168,0.322939311292041,-14.402029682339716,-45.56789321563583
0.2206,0.2293,0.6081,0.7064,0.8506,0.8388,0.6579,0.2175,0.2076,0.191,0.28316531410310675,-14.391800481991448,-45.53447518494228
0.2396,0.3637,0.6682,0.9218,0.904,0.7542,0.1433,0.2027,0.3757,0.334,0.2940509132030634,-14.354972985651074,-45.50656533222414
0.7535,0.5708,0.4957,0.4606,0.292,0.1701,0.2347,0.3905,0.517,0.8172,0.2101186143850923,-14.413028050931894,-45.71304945724371
0.2757,0.3232,0.5406,0.873,0.8152,0.6977,0.1396,0.1928,0.2241,0.3526,0.2689301778446509,-14.339676812246573,-45.55424302589445
0.2057,0.21,0.6497,0.7871,0.8995,0.8399,0.2693,0.172,0.2576,0.3198,0.29581418792508546,-14.330009526820435,-45.510821254084355
0.3597,0.6125,0.5698,0.9506,0.9551,0.8621,0.1519,0.1946,0.2157,0.3126,0.3171864968402308,-14.418321541395404,-45.560559488102605
0.1387,0.2378,0.6894,0.9139,0.9871,0.9195,0.6034,0.181,0.1624,0.0926,0.3669043587155165,-14.341948934301454,-45.508622623763905
0.193,0.4547,0.6852,0.8388,0.7612,0.5506,0.1533,0.2107,0.1996,0.3576,0.2571524539170404,-14.352770477589278,-45.52158432922649
0.1106,0.1273,0.2744,0.4797,0.8723,0.8982,0.842,0.9898,0.7928,0.7336,0.3350932906586529,-14.585600725687618,-45.853825494721384
0.1704,0.155,0.2583,0.6859,0.8803,0.9175,0.8069,0.4296,0.197,0.1914,0.31907714166535545,-14.306135146894226,-45.51313166256392
0.8294,0.7151,0.5439,0.5774,0.2393,0.3265,0.2446,0.2235,0.2468,0.6031,0.225312702211344,-13.685877668402979,-45.94312740246063
0.2001,0.6487,0.5174,0.8109,0.4911,0.4112,0.2355,0.2237,0.2008,0.1976,0.218898596513444,-14.24822903149184,-45.4431989378233
0.8707,0.7225,0.7173,0.7639,0.7196,0.5665,0.3259,0.2207,0.222,0.4347,0.23909876992108883,-14.638499776189663,-45.7729678731851
0.1493,0.1909,0.756,0.8588,0.829,0.6895,0.6457,0.6486,0.3669,0.2542,0.2714728079282425,-13.777297817325053,-46.007872993097045
0.402,0.6518,0.8982,0.7519,0.8773,0.8342,0.5823,0.1925,0.1808,0.131,0.30237721107546744,-14.422805300775082,-45.7087669113325
0.2618,0.667,0.8253,0.8847,0.7131,0.6403,0.1555,0.1769,0.2668,0.355,0.2792314698915181,-14.316474308871438,-45.49813358847161
