2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,2018-02-02,2018-02-18,2018-03-06,2018-03-22,desvio,amplitude,lat,long
0.2788,0.5157,0.7044,0.9321,0.9321,0.9369,0.7763,0.4103,0.3698,0.3429,0.26613403076895925,0.6580999999999999,-13.136363948919563,-43.74315148918085
0.8686,0.8831,0.8492,0.8404,0.716,0.454,0.2799,0.2748,0.3068,0.3176,0.2741650362666821,0.6083000000000001,-13.344441977235286,-43.98623634372951
0.8278,0.832,0.3463,0.2906,0.3216,0.3886,0.7933,0.8214,0.9048,0.8897,0.2653935168344882,0.6142000000000001,-13.260863395170126,-43.7125636690901
0.2473,0.3035,0.5918,0.921,0.921,0.9371,0.8471,0.4514,0.3684,0.2708,0.2934980454222254,0.6898000000000001,-13.144441734348225,-43.75568280272783
0.2755,0.2816,0.5236,0.8977,0.8884,0.9296,0.7303,0.458,0.3627,0.2201,0.2812716253414521,0.7095,-13.113208570974514,-43.75730050890519
0.214,0.2611,0.3569,0.7895,0.8549,0.8255,0.8321,0.4832,0.3594,0.28,0.26816619722353774,0.6409,-13.237169028054602,-43.739109439735266
0.3092,0.3267,0.3407,0.3132,0.4564,0.5913,0.8482,0.8835,0.8822,0.8734,0.26304526353208996,0.5743,-13.251714683528915,-43.72630826227008
0.3329,0.3965,0.4147,0.2848,0.4424,0.5991,0.8861,0.9234,0.8857,0.8733,0.2611698444818365,0.6386000000000001,-13.261416488597407,-43.733315121486214
0.2331,0.3162,0.2476,0.2694,0.4302,0.558,0.8137,0.8851,0.8875,0.8371,0.2824102077553934,0.6544,-13.243097908929787,-43.723478753791625
0.2022,0.2324,0.3267,0.8051,0.8051,0.8904,0.9141,0.5695,0.513,0.3927,0.2737591958881625,0.7119,-13.225297162047406,-43.732371705771435
0.2296,0.227,0.3794,0.8286,0.8286,0.9153,0.9234,0.7264,0.6141,0.3069,0.285880243186626,0.6964,-13.18163198711078,-43.74651998682982
0.2549,0.2666,0.4501,0.9018,0.9018,0.9182,0.8488,0.4893,0.2898,0.2648,0.2984673793826648,0.6633,-13.15307966533259,-43.752718731623176
0.2109,0.2529,0.2772,0.4185,0.8316,0.869,0.9205,0.8333,0.6933,0.3478,0.28917031505863655,0.7096,-13.224758172876925,-43.71620203065727
0.2282,0.2962,0.2588,0.3253,0.5032,0.6172,0.8615,0.9013,0.8607,0.8272,0.27899740022683606,0.6731,-13.251721735657338,-43.736414493882926
0.2659,0.2967,0.445,0.3248,0.3916,0.533,0.8543,0.9013,0.8865,0.853,0.26805664596208845,0.6354,-13.219907270342686,-43.708117193100186
0.2677,0.2539,0.4405,0.6555,0.8538,0.9453,0.8765,0.5677,0.427,0.2416,0.27000279936820404,0.7037,-12.975759280375815,-45.05370402651581
0.1948,0.2141,0.2968,0.7714,0.8673,0.8734,0.9003,0.6528,0.5645,0.3331,0.2857904175751485,0.7055,-13.232821854048767,-43.721456621069905
0.875,0.9094,0.9115,0.8542,0.7453,0.279,0.2915,0.2617,0.261,0.3845,0.3023956879836601,0.6505,-13.126130206809005,-43.56137757610574
0.1631,0.1745,0.2149,0.2281,0.533,0.3524,0.7061,0.7877,0.8108,0.7806,0.27727435190118505,0.6476999999999999,-12.720292517829039,-44.595294106362545
0.1846,0.2551,0.361,0.6256,0.8105,0.9214,0.8657,0.5661,0.2322,0.3113,0.28130366055997996,0.7368,-12.972511241096168,-45.04319336835863
0.2152,0.2576,0.4377,0.8641,0.9155,0.8839,0.8137,0.4439,0.455,0.3392,0.27620691438766615,0.7002999999999999,-13.172511483983223,-43.71552921752658
0.2601,0.2738,0.3399,0.7349,0.7349,0.9018,0.897,0.8888,0.8215,0.3983,0.2732782871400914,0.6417,-14.091722253580675,-43.67982026165043
