2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,2018-02-02,2018-02-18,2018-03-06,2018-03-22,desvio,lat,long
0.6311,0.307,0.2892,0.2609,0.1929,0.4909,0.5758,0.1478,0.322,0.6433,0.18339070890072678,-2.5808227006863804,-44.249411058732264
0.3172,0.4305,0.5622,0.1282,0.1921,0.5156,0.6769,0.5012,0.3784,0.4717,0.16801152076899697,-2.459691696256311,-44.103237268708604
0.5014,0.6079,0.4791,0.2292,0.5791,0.5844,0.7479,0.284,0.6809,0.2031,0.1905308140724516,-3.1067376300174967,-43.289735861962654
0.4829,0.6075,0.5132,0.5844,0.4672,0.1865,0.5323,0.1591,0.7499,0.6685,0.19042860575262555,-2.620471643653652,-44.29377973644063
0.5087,0.5366,0.0856,0.117,0.4477,0.5416,0.1798,0.915,0.5911,0.5846,0.25609697403739684,-2.7105231493403297,-44.21168508271469
0.436,0.5126,0.5281,0.2767,0.2643,0.3866,0.1417,0.6616,0.5701,0.6262,0.17098462861386757,-2.458613148332683,-44.113625918618176
0.423,0.5242,0.472,0.1594,0.6152,0.4023,0.7052,0.5864,0.2319,0.5283,0.16864703080694898,-2.9922789203084315,-43.306377483596115
0.4731,0.5363,0.5687,0.1423,0.7071,0.2042,0.3285,0.1511,0.3047,0.4701,0.19183342571674575,-2.6921465806018565,-44.34218232642511
0.3106,0.281,0.2771,0.0678,0.4103,0.5158,0.5345,0.5545,0.5282,0.5292,0.16200501363983907,-3.023772047578104,-44.31189326337785
0.4849,0.494,0.315,0.6745,0.4439,0.2786,0.1525,0.4978,0.6356,0.6703,0.17410122502600478,-2.76468878641049,-44.05889556125639
0.3974,0.4178,0.3427,0.0646,0.6914,0.306,0.4964,0.4144,0.5335,0.5549,0.16877536319683104,-2.848722751058656,-43.95208565543753
0.4553,0.5054,0.3803,0.0759,0.4709,0.6483,0.5473,0.6155,0.5145,0.6181,0.16531183495980492,-2.776099635155256,-43.5399519696397
0.3897,0.4502,0.4068,0.4058,0.5372,0.3976,0.8374,0.7361,0.4532,0.7202,0.16771897659809135,-3.273998533752299,-43.37732021798687
