"2017-11-01","2017-11-17","2017-12-03","2017-12-19","2018-01-01","2018-01-17","2018-02-02","2018-02-18","2018-03-06","2018-03-22"
7566,7453,4865,7127,7298,5848,6837,5229,6497,7407
9100,9150,7368,3727,3216,2948,5763,7060,7154,9280
6433,7023,5330,5928,6657,7529,5789,6499,6541,6154
6630,7254,7415,7044,7650,7822,7163,7640,8006,7520
6700,4854,2069,2252,2114,1632,5076,7962,8932,8718
6041,2319,2769,1753,2363,2477,8280,9071,8964,8655
2596,3140,3409,2981,3315,2749,6365,8055,8878,9260
1884,2427,4408,5986,8813,9189,9291,8641,9095,6119
1902,2941,2018,8307,8395,9286,8691,6761,3791,2460
1670,3068,7104,7790,9141,9283,8743,6970,4189,2508
1976,2235,4980,6546,7720,9034,8929,8384,6230,3043
1959,2747,6080,7611,7969,9265,9003,7957,5039,2639
1794,1739,1659,1474,1685,1642,2010,2069,2012,1689
1564,1415,1701,1180,1334,1455,1619,1440,1649,1442
1542,1422,1429,2269,2580,3269,7295,7426,7435,6852
2323,1497,1647,2251,5929,6658,8952,9274,9133,9008
2481,3446,1647,2942,4770,5625,8283,6934,6428,4430
3177,4823,8036,8706,8440,9182,8563,3831,2880,2979
6960,6855,3716,2921,2062,1412,3527,6569,9286,9307
1650,1616,1751,1628,1617,1708,2024,1637,2146,1527
5484,5530,1481,1440,2457,2294,7162,8794,8757,8234
2310,3482,7341,6223,8529,9309,8852,6808,4165,2438
7022,5258,2341,2116,3252,1516,3177,6038,6466,9067
1590,1535,1882,1653,1656,1603,2220,1641,1954,1363
2659,2423,2828,2991,3817,4157,2923,3387,3245,3451
3684,4750,2829,3246,3583,4207,8471,8991,9038,8590
7651,8240,5404,4556,2726,1660,3341,6319,8859,9215
2652,4040,5583,3208,3086,2957,7715,9024,8950,8628
2093,4457,3963,9059,8646,9314,8448,3303,1334,3421
3169,6082,7830,8444,7392,8781,3455,2381,4074,1971
2082,2713,1741,4976,7651,8961,8276,9236,8809,8276
6840,7283,4860,4366,2825,1639,2267,4691,8504,8729
2295,2584,2018,5463,8900,9174,7954,9131,6904,8022
6752,8260,7642,6548,4373,1763,1912,3581,7949,8207
2256,3823,2914,8686,8942,9238,6142,5620,2805,2867
5586,5702,4145,5940,5572,4589,2304,1367,1704,1738
1694,1716,1965,1854,2334,2039,4766,7438,8514,7472
1458,1987,1708,2437,6084,7988,8329,9041,8704,7735
2554,4368,1328,1359,1680,2282,6729,6263,5033,3931
1826,2646,2193,5776,6284,6733,2080,3754,5864,7366
6771,7740,1229,5346,5060,3184,3000,5003,5636,7733
1446,2618,2643,2983,6230,8150,9159,9212,8926,7920
1309,1514,1736,2236,4649,5962,8567,8197,8567,5260
1536,1628,1276,1536,2310,1758,1661,1393,1610,1509
1513,1396,3076,1656,2399,2950,6389,7391,8493,7025
1656,1541,1059,1394,1719,1551,1810,1938,2759,2670
1734,1674,1363,1793,1793,1603,2181,2088,2944,1928
1615,1838,1687,2306,2306,2181,3899,4763,2926,7688
1379,1635,1303,2851,5365,6695,8549,7055,4899,5019
3263,7710,1225,8351,8937,8500,2470,2053,2364,1742
3028,7928,3949,9116,9177,8300,1539,1680,2468,2556
3295,5135,8212,8955,9155,8906,8506,3468,3109,2798
2442,7652,5336,9431,9378,9199,7506,2609,2036,1748
5894,7123,4618,2753,2790,3274,6474,7300,7845,8612
1891,2058,2578,2045,4275,5075,8679,7918,7945,7041
1238,1915,2045,2191,3820,4778,7494,7264,7073,5713
6684,7340,6894,2944,3945,3806,8271,8712,9231,9149
2160,1741,1082,1743,1743,1743,1981,1925,2419,2745
5174,4095,2780,3693,2593,3187,6320,7512,7923,7709
2103,5429,7175,8984,8984,9046,6357,3862,3042,2286
1157,1599,1620,1694,2759,2815,4394,4079,2904,4255
4812,6638,8491,9226,9226,9279,4598,3603,5787,4367
2981,6506,8674,9167,8874,9239,4710,3717,3001,2924
2721,5266,8337,8527,8527,9112,5418,3901,7401,5862
5200,8732,8079,8577,8577,8634,8607,7842,7954,8844
5606,8472,8173,8286,8412,8510,8478,8742,8076,9250
4319,8854,8711,8147,8710,8015,8766,8058,8532,8094
7207,8323,8348,7076,7713,8045,7812,8411,8446,8393
2619,2747,4005,4360,7687,8060,7887,5239,3724,3006
8408,8802,8693,8979,8839,8716,8700,8965,9389,8240
6210,7974,8020,6351,6881,7102,8550,8265,5825,8425
6576,8695,8509,8718,8718,9041,8825,9039,7997,9230
3705,6730,8337,6665,8649,8579,8420,8507,8526,8428
1741,1944,2974,3726,7052,4808,8751,8088,8532,8767
7005,8391,8566,8015,8987,8750,8860,8912,8218,8822
